[API] [2019-08-16 19:27:10,896 11] [INFO] [UserController] - Entered UserAuthenticate method 
[API] [2019-08-16 19:27:11,057 11] [INFO] [UserController] - Getting UserDetails from database
[API] [2019-08-16 19:27:11,947 11] [INFO] [UserController] - Getting UserDetails from database is completed. Returning the status object 
[API] [2019-08-16 19:27:11,994 11] [INFO] [UserController] - UserAuthenticate-Elapsed 00:00:01.0981081
[API] [2019-08-16 19:27:28,439 6] [INFO] [UserController] - Entered UserAuthenticate method 
[API] [2019-08-16 19:27:28,447 6] [INFO] [UserController] - Getting UserDetails from database
[API] [2019-08-16 19:27:28,541 6] [INFO] [UserController] - Getting UserDetails from database is completed. Returning the status object 
[API] [2019-08-16 19:27:28,569 6] [INFO] [UserController] - UserAuthenticate-Elapsed 00:00:00.1286642
[API] [2019-08-16 19:27:47,710 8] [INFO] [UserController] - Entered UserAuthenticate method 
[API] [2019-08-16 19:27:47,718 8] [INFO] [UserController] - Getting UserDetails from database
[API] [2019-08-16 19:27:47,722 8] [INFO] [UserController] - Getting UserDetails from database is completed. Returning the status object 
[API] [2019-08-16 19:27:47,730 8] [INFO] [UserController] - UserAuthenticate-Elapsed 00:00:00.0212843
[API] [2019-08-16 19:27:57,952 11] [INFO] [UserController] - Entered UserAuthenticate method 
[API] [2019-08-16 19:27:57,960 11] [INFO] [UserController] - Getting UserDetails from database
[API] [2019-08-16 19:27:57,968 11] [INFO] [UserController] - Getting UserDetails from database is completed. Returning the status object 
[API] [2019-08-16 19:27:57,972 11] [INFO] [UserController] - UserAuthenticate-Elapsed 00:00:00.0195066
[API] [2019-08-16 19:28:21,610 9] [INFO] [UserController] - Entered UserAuthenticate method 
[API] [2019-08-16 19:28:21,618 9] [INFO] [UserController] - Getting UserDetails from database
[API] [2019-08-16 19:28:21,914 9] [INFO] [UserController] - Getting UserDetails from database is completed. Returning the status object 
[API] [2019-08-16 19:28:21,926 9] [INFO] [UserController] - UserAuthenticate-Elapsed 00:00:00.3161152
[API] [2019-08-16 19:28:34,541 11] [INFO] [UserController] - Entered UserAuthenticate method 
[API] [2019-08-16 19:28:34,549 11] [INFO] [UserController] - Getting UserDetails from database
[API] [2019-08-16 19:28:34,675 11] [INFO] [UserController] - Getting UserDetails from database is completed. Returning the status object 
[API] [2019-08-16 19:28:34,691 11] [INFO] [UserController] - UserAuthenticate-Elapsed 00:00:00.1473071
[API] [2019-08-16 19:28:37,731 14] [INFO] [EmployeesController] - Entered GetCheckInTime method
[API] [2019-08-16 19:28:37,875 14] [INFO] [EmployeesController] - Getting CheckInTime from database
[API] [2019-08-16 19:28:38,685 14] [INFO] [EmployeesController] - Getting CheckInTime from database completed. Returning the status object
[API] [2019-08-16 19:28:38,701 14] [INFO] [EmployeesController] - GetCheckInTime method Elapsed - 00:00:00.9672418
[API] [2019-08-16 19:28:39,303 11] [INFO] [EmployeesController] - Entered GetAnniversary method
[API] [2019-08-16 19:28:39,319 11] [INFO] [EmployeesController] - Getting Anniversary from database
[API] [2019-08-16 19:28:39,407 11] [INFO] [EmployeesController] - Getting Anniversary from database completed. Returning the status object
[API] [2019-08-16 19:28:39,419 11] [INFO] [EmployeesController] - GetAnniversary method Elapsed - 00:00:00.1136217
[API] [2019-08-16 19:28:39,681 9] [INFO] [EmployeesController] - Entered Employees method
[API] [2019-08-16 19:28:39,697 9] [INFO] [EmployeesController] - Getting employees from database
