[API] [2019-05-27 18:35:00,942 16] [INFO] [UserController] - Entered UserAuthenticate method 
[API] [2019-05-27 18:35:01,038 16] [INFO] [UserController] - Getting UserDetails from database
[API] [2019-05-27 18:35:01,121 16] [INFO] [UserController] - Getting UserDetails from database is completed. Returning the status object 
[API] [2019-05-27 18:35:01,124 16] [INFO] [UserController] - UserAuthenticate-Elapsed 00:00:00.1844462
[API] [2019-05-27 18:35:19,234 14] [INFO] [UserController] - Entered UserAuthenticate method 
[API] [2019-05-27 18:35:19,235 14] [INFO] [UserController] - Getting UserDetails from database
[API] [2019-05-27 18:35:19,238 14] [INFO] [UserController] - Getting UserDetails from database is completed. Returning the status object 
[API] [2019-05-27 18:35:19,239 14] [INFO] [UserController] - UserAuthenticate-Elapsed 00:00:00.0050257
[API] [2019-05-27 18:35:25,033 26] [INFO] [UserController] - Entered UserAuthenticate method 
[API] [2019-05-27 18:35:25,034 26] [INFO] [UserController] - Getting UserDetails from database
[API] [2019-05-27 18:35:25,039 26] [INFO] [UserController] - Getting UserDetails from database is completed. Returning the status object 
[API] [2019-05-27 18:35:25,040 26] [INFO] [UserController] - UserAuthenticate-Elapsed 00:00:00.0065011
[API] [2019-05-27 18:35:29,878 25] [INFO] [EmployeesController] - Entered GetCheckInTime method
[API] [2019-05-27 18:35:29,879 25] [INFO] [EmployeesController] - Getting CheckInTime from database
[API] [2019-05-27 18:35:29,901 25] [INFO] [EmployeesController] - Getting CheckInTime from database completed. Returning the status object
[API] [2019-05-27 18:35:29,901 25] [INFO] [EmployeesController] - GetCheckInTime method Elapsed - 00:00:00.0232370
[API] [2019-05-27 18:35:30,381 25] [INFO] [ReportsController] - Entered MonthlyReport method
[API] [2019-05-27 18:35:30,381 25] [INFO] [ReportsController] - Getting MonthlyReport data from the database 
[API] [2019-05-27 18:35:30,386 25] [INFO] [ReportsController] - Getting MonthlyReport data from the database is completed . Returning the status object 
[API] [2019-05-27 18:35:30,386 25] [INFO] [ReportsController] - MonthlyReport -Elapsed 00:00:00.0055095
[API] [2019-05-27 18:35:30,459 17] [INFO] [ReportsController] - Entered TimeReport method
[API] [2019-05-27 18:35:30,459 17] [INFO] [ReportsController] - Getting data from the database
[API] [2019-05-27 18:35:30,461 17] [INFO] [ReportsController] - Getting TimeReport data from the database is completed . Returning the status object 
[API] [2019-05-27 18:35:30,462 17] [INFO] [ReportsController] - TimeReport-Elapsed 00:00:00.0030217
[API] [2019-05-27 18:35:30,922 9] [INFO] [ReportsController] - Entered MissingEntriesReport method
[API] [2019-05-27 18:35:30,923 9] [INFO] [ReportsController] - Getting MissingEntriesReport data from the database 
[API] [2019-05-27 18:35:30,929 9] [INFO] [ReportsController] - Getting MissingEntriesReport data from the database is completed . Returning the status object 
[API] [2019-05-27 18:35:30,930 9] [INFO] [ReportsController] - MissingEntriesReport-Elapsed00:00:00.0075388
[API] [2019-05-27 18:35:31,396 24] [INFO] [EmployeesController] - Entered GetCheckOutTime method
[API] [2019-05-27 18:35:31,396 24] [INFO] [EmployeesController] - Getting checkout time from database
[API] [2019-05-27 18:35:31,398 24] [INFO] [EmployeesController] - Getting checkout time from database completed. Returning the status object
[API] [2019-05-27 18:35:31,399 24] [INFO] [EmployeesController] - GetCheckOutTime method Elapsed - 00:00:00.0036831
[API] [2019-05-27 18:35:31,921 9] [INFO] [EmployeesController] - Entered GetAnniversary method
[API] [2019-05-27 18:35:31,923 9] [INFO] [EmployeesController] - Getting Anniversary from database
[API] [2019-05-27 18:35:31,928 9] [INFO] [EmployeesController] - Getting Anniversary from database completed. Returning the status object
[API] [2019-05-27 18:35:31,930 9] [INFO] [EmployeesController] - GetAnniversary method Elapsed - 00:00:00.0083867
[API] [2019-05-27 18:38:16,435 22] [INFO] [EmployeesController] - Entered GetCheckInTime method
[API] [2019-05-27 18:38:16,435 22] [INFO] [EmployeesController] - Getting CheckInTime from database
[API] [2019-05-27 18:38:16,438 22] [INFO] [EmployeesController] - Getting CheckInTime from database completed. Returning the status object
[API] [2019-05-27 18:38:16,439 22] [INFO] [EmployeesController] - GetCheckInTime method Elapsed - 00:00:00.0039437
[API] [2019-05-27 18:38:16,941 26] [INFO] [EmployeesController] - Entered GetCheckOutTime method
[API] [2019-05-27 18:38:16,941 26] [INFO] [EmployeesController] - Getting checkout time from database
[API] [2019-05-27 18:38:16,942 26] [INFO] [EmployeesController] - Getting checkout time from database completed. Returning the status object
[API] [2019-05-27 18:38:16,943 26] [INFO] [EmployeesController] - GetCheckOutTime method Elapsed - 00:00:00.0019338
[API] [2019-05-27 18:38:17,462 7] [INFO] [EmployeesController] - Entered GetAnniversary method
[API] [2019-05-27 18:38:17,464 7] [INFO] [EmployeesController] - Getting Anniversary from database
[API] [2019-05-27 18:38:17,467 7] [INFO] [EmployeesController] - Getting Anniversary from database completed. Returning the status object
[API] [2019-05-27 18:38:17,468 7] [INFO] [EmployeesController] - GetAnniversary method Elapsed - 00:00:00.0059255
[API] [2019-05-27 18:38:17,996 25] [INFO] [ReportsController] - Entered MonthlyReport method
[API] [2019-05-27 18:38:17,998 25] [INFO] [ReportsController] - Getting MonthlyReport data from the database 
[API] [2019-05-27 18:38:18,016 25] [INFO] [ReportsController] - Getting MonthlyReport data from the database is completed . Returning the status object 
