[2019-08-16 19:27:05,011 6] [INFO] [LoginController] - Entered UserAuthentication method
[2019-08-16 19:27:12,680 6] [INFO] [LoginController] - Elapsed00:00:07.6700646
[2019-08-16 19:27:28,431 11] [INFO] [LoginController] - Entered UserAuthentication method
[2019-08-16 19:27:28,654 11] [INFO] [LoginController] - Elapsed00:00:00.2223599
[2019-08-16 19:27:47,694 7] [INFO] [LoginController] - Entered UserAuthentication method
[2019-08-16 19:27:47,742 7] [INFO] [LoginController] - Elapsed00:00:00.0503388
[2019-08-16 19:27:57,944 8] [INFO] [LoginController] - Entered UserAuthentication method
[2019-08-16 19:27:57,988 8] [INFO] [LoginController] - Elapsed00:00:00.0415803
[2019-08-16 19:28:21,534 14] [INFO] [LoginController] - Entered UserAuthentication method
[2019-08-16 19:28:21,946 14] [INFO] [LoginController] - Elapsed00:00:00.4106583
[2019-08-16 19:28:34,533 7] [INFO] [LoginController] - Entered UserAuthentication method
[2019-08-16 19:28:35,010 7] [INFO] [LoginController] - Elapsed00:00:00.4831097
[2019-08-16 19:28:37,621 11] [INFO] [HomeController] - Entered GetCheckInDetails method
[2019-08-16 19:28:38,741 11] [INFO] [HomeController] - GetCheckInDetails method Elapsed - 00:00:01.1204588
[2019-08-16 19:28:39,233 14] [INFO] [HomeController] - Entered EmployeeAnniversary method
[2019-08-16 19:28:39,439 14] [INFO] [HomeController] - EmployeeAnniversary method Elapsed - 00:00:00.2055542
[2019-08-16 19:28:39,661 14] [INFO] [HomeController] - Entered GetEmployees method
[2019-08-16 19:28:40,023 14] [INFO] [HomeController] - GetEmployees method Elapsed - 00:00:00.3628633
[2019-08-16 19:28:40,139 9] [INFO] [HomeController] - Entered GetMonthlyData method
[2019-08-16 19:28:40,772 9] [INFO] [HomeController] - GetMonthlyData method Elapsed - 00:00:00.6360225
[2019-08-16 19:28:40,892 7] [INFO] [HomeController] - Entered GetTime method
[2019-08-16 19:28:41,028 7] [INFO] [HomeController] - GetTime method Elapsed - 00:00:00.1356024
[2019-08-16 19:28:41,758 8] [INFO] [ReportsController] - Entered Missing Entries Details method
[2019-08-16 19:28:42,540 8] [INFO] [ReportsController] - MissingEntriesDetails-Elapsed00:00:00.7806739
[2019-08-16 19:30:15,962 14] [INFO] [HomeController] - Entered GetCheckInDetails method
[2019-08-16 19:30:16,098 14] [INFO] [HomeController] - GetCheckInDetails method Elapsed - 00:00:00.1364866
[2019-08-16 19:30:16,476 26] [INFO] [ReportsController] - Entered Missing Entries Details method
[2019-08-16 19:30:16,721 26] [INFO] [ReportsController] - MissingEntriesDetails-Elapsed00:00:00.2447866
[2019-08-16 19:30:17,481 26] [INFO] [HomeController] - Entered EmployeeAnniversary method
[2019-08-16 19:30:17,688 26] [INFO] [HomeController] - EmployeeAnniversary method Elapsed - 00:00:00.2067063
[2019-08-16 19:30:18,003 21] [INFO] [AdminController] - Entered EmployeeDetails method
[2019-08-16 19:30:18,505 21] [INFO] [AdminController] - EmployeeDetails-Elapsed00:00:00.5035453
[2019-08-16 19:30:19,724 26] [INFO] [HomeController] - Entered GetCheckInDetails method
[2019-08-16 19:30:19,800 26] [INFO] [HomeController] - GetCheckInDetails method Elapsed - 00:00:00.0765333
[2019-08-16 19:30:20,254 26] [INFO] [AdminController] - Entered GetDesignations method 
[2019-08-16 19:30:20,372 26] [INFO] [AdminController] - GetDesignations-Elapsed00:00:00.1308334
[2019-08-16 19:30:20,762 25] [INFO] [HomeController] - Entered EmployeeAnniversary method
[2019-08-16 19:30:20,854 25] [INFO] [HomeController] - EmployeeAnniversary method Elapsed - 00:00:00.0931266
[2019-08-16 19:30:21,266 29] [INFO] [ReportsController] - Entered Missing Entries Details method
[2019-08-16 19:30:21,414 29] [INFO] [ReportsController] - MissingEntriesDetails-Elapsed00:00:00.1468253
[2019-08-16 19:30:22,286 27] [INFO] [AdminController] - Entered GetDepartments method 
[2019-08-16 19:30:22,443 27] [INFO] [AdminController] - GetDepartments-Elapsed00:00:00.1563289
[2019-08-16 19:31:27,668 9] [INFO] [HomeController] - Entered GetCheckInDetails method
[2019-08-16 19:31:27,952 9] [INFO] [HomeController] - GetCheckInDetails method Elapsed - 00:00:00.2851266
[2019-08-16 19:31:28,686 26] [INFO] [ReportsController] - Entered Missing Entries Details method
