[2019-10-25 20:06:53,784 11] [INFO] [LoginController] - Entered UserAuthentication method
[2019-10-25 20:07:00,372 11] [INFO] [LoginController] - Elapsed00:00:06.6022015
[2019-10-25 20:07:43,285 11] [INFO] [LoginController] - Entered UserAuthentication method
[2019-10-25 20:07:43,470 11] [INFO] [LoginController] - Elapsed00:00:00.1857791
[2019-10-25 20:08:11,022 8] [INFO] [LoginController] - Entered UserAuthentication method
[2019-10-25 20:08:11,075 8] [INFO] [LoginController] - Elapsed00:00:00.0531197
[2019-10-25 20:08:47,317 7] [INFO] [LoginController] - Entered UserAuthentication method
[2019-10-25 20:08:47,450 7] [INFO] [LoginController] - Elapsed00:00:00.1331725
[2019-10-25 20:10:31,575 27] [INFO] [LoginController] - Entered UserAuthentication method
[2019-10-25 20:10:31,750 27] [INFO] [LoginController] - Elapsed00:00:00.1758664
[2019-10-25 20:10:41,820 25] [INFO] [LoginController] - Entered UserAuthentication method
[2019-10-25 20:10:41,961 25] [INFO] [LoginController] - Elapsed00:00:00.1411094
[2019-10-25 20:11:01,338 27] [INFO] [LoginController] - Entered UserAuthentication method
[2019-10-25 20:11:01,508 27] [INFO] [LoginController] - Elapsed00:00:00.1708628
[2019-10-25 20:11:38,815 27] [INFO] [LoginController] - Entered UserAuthentication method
[2019-10-25 20:11:39,052 27] [INFO] [LoginController] - Elapsed00:00:00.2370647
[2019-10-25 20:11:40,772 27] [INFO] [HomeController] - Entered GetCheckInDetails method
[2019-10-25 20:11:41,295 27] [INFO] [HomeController] - GetCheckInDetails method Elapsed - 00:00:00.5235975
[2019-10-25 20:11:41,806 7] [INFO] [HomeController] - Entered GetMonthlyData method
[2019-10-25 20:11:42,336 7] [INFO] [HomeController] - GetMonthlyData method Elapsed - 00:00:00.5317900
[2019-10-25 20:11:42,421 27] [INFO] [HomeController] - Entered GetTime method
[2019-10-25 20:11:42,525 27] [INFO] [HomeController] - GetTime method Elapsed - 00:00:00.1040821
[2019-10-25 20:11:42,825 27] [INFO] [HomeController] - Entered EmployeeAnniversary method
[2019-10-25 20:11:42,988 27] [INFO] [HomeController] - EmployeeAnniversary method Elapsed - 00:00:00.1630747
[2019-10-25 20:11:43,334 23] [INFO] [ReportsController] - Entered Missing Entries Details method
[2019-10-25 20:11:44,243 23] [INFO] [ReportsController] - MissingEntriesDetails-Elapsed00:00:00.9126287
[2019-10-25 20:12:11,969 29] [INFO] [HomeController] - Entered GetCheckInDetails method
[2019-10-25 20:12:12,164 29] [INFO] [HomeController] - GetCheckInDetails method Elapsed - 00:00:00.1957287
[2019-10-25 20:12:12,987 32] [INFO] [ReportsController] - Entered Missing Entries Details method
[2019-10-25 20:12:13,143 32] [INFO] [ReportsController] - MissingEntriesDetails-Elapsed00:00:00.1595045
[2019-10-25 20:12:13,488 23] [INFO] [HomeController] - Entered EmployeeAnniversary method
[2019-10-25 20:12:13,567 23] [INFO] [HomeController] - EmployeeAnniversary method Elapsed - 00:00:00.0778676
[2019-10-25 20:12:14,004 32] [INFO] [HomeController] - Entered GetMonthlyData method
[2019-10-25 20:12:14,179 32] [INFO] [HomeController] - GetMonthlyData method Elapsed - 00:00:00.1749067
[2019-10-25 20:12:14,252 29] [INFO] [HomeController] - Entered GetTime method
[2019-10-25 20:12:14,337 29] [INFO] [HomeController] - GetTime method Elapsed - 00:00:00.0855900
[2019-10-25 20:15:28,242 21] [INFO] [LoginController] - Entered UserAuthentication method
[2019-10-25 20:15:28,386 21] [INFO] [LoginController] - Elapsed00:00:00.1450809
[2019-10-25 20:16:05,734 20] [INFO] [LoginController] - Entered UserAuthentication method
[2019-10-25 20:16:05,791 20] [INFO] [LoginController] - Elapsed00:00:00.0562825
[2019-10-25 20:16:13,826 21] [INFO] [LoginController] - Entered UserAuthentication method
[2019-10-25 20:16:13,878 21] [INFO] [LoginController] - Elapsed00:00:00.0528395
[2019-10-25 20:16:24,905 11] [INFO] [LoginController] - Entered UserAuthentication method
[2019-10-25 20:16:24,966 11] [INFO] [LoginController] - Elapsed00:00:00.0603023
[2019-10-25 20:17:04,699 23] [INFO] [LoginController] - Entered UserAuthentication method
[2019-10-25 20:17:04,767 23] [INFO] [LoginController] - Elapsed00:00:00.0677373
[2019-10-25 20:17:52,141 35] [INFO] [LoginController] - Entered UserAuthentication method
[2019-10-25 20:17:52,205 35] [INFO] [LoginController] - Elapsed00:00:00.0640521
[2019-10-25 20:18:01,097 21] [INFO] [LoginController] - Entered UserAuthentication method
[2019-10-25 20:18:01,153 21] [INFO] [LoginController] - Elapsed00:00:00.0559438
[2019-10-25 20:18:10,903 29] [INFO] [LoginController] - Entered UserAuthentication method
[2019-10-25 20:18:10,956 29] [INFO] [LoginController] - Elapsed00:00:00.0533194
[2019-10-25 20:18:19,407 39] [INFO] [LoginController] - Entered UserAuthentication method
[2019-10-25 20:18:19,460 39] [INFO] [LoginController] - Elapsed00:00:00.0533861
[2019-10-25 20:20:45,084 41] [INFO] [LoginController] - Entered UserAuthentication method
[2019-10-25 20:20:45,144 41] [INFO] [LoginController] - Elapsed00:00:00.0600072
[2019-10-25 20:20:59,790 29] [INFO] [LoginController] - Entered UserAuthentication method
[2019-10-25 20:20:59,945 29] [INFO] [LoginController] - Elapsed00:00:00.1544794
