[2019-05-27 18:34:55,422 12] [INFO] [LoginController] - Entered UserAuthentication method
[2019-05-27 18:35:01,243 12] [INFO] [LoginController] - Elapsed00:00:05.8340755
[2019-05-27 18:35:19,217 7] [INFO] [LoginController] - Entered UserAuthentication method
[2019-05-27 18:35:19,251 7] [INFO] [LoginController] - Elapsed00:00:00.0340155
[2019-05-27 18:35:25,002 25] [INFO] [LoginController] - Entered UserAuthentication method
[2019-05-27 18:35:25,084 25] [INFO] [LoginController] - Elapsed00:00:00.0817830
[2019-05-27 18:35:29,852 12] [INFO] [HomeController] - Entered GetCheckInDetails method
[2019-05-27 18:35:29,909 12] [INFO] [HomeController] - GetCheckInDetails method Elapsed - 00:00:00.0575567
[2019-05-27 18:35:30,365 14] [INFO] [HomeController] - Entered GetMonthlyData method
[2019-05-27 18:35:30,417 14] [INFO] [HomeController] - GetMonthlyData method Elapsed - 00:00:00.0519459
[2019-05-27 18:35:30,449 7] [INFO] [HomeController] - Entered GetTime method
[2019-05-27 18:35:30,469 7] [INFO] [HomeController] - GetTime method Elapsed - 00:00:00.0199332
[2019-05-27 18:35:30,890 16] [INFO] [ReportsController] - Entered Missing Entries Details method
[2019-05-27 18:35:30,943 16] [INFO] [ReportsController] - MissingEntriesDetails-Elapsed00:00:00.0529914
[2019-05-27 18:35:31,911 14] [INFO] [HomeController] - Entered EmployeeAnniversary method
[2019-05-27 18:35:31,944 14] [INFO] [HomeController] - EmployeeAnniversary method Elapsed - 00:00:00.0335795
[2019-05-27 18:38:16,399 14] [INFO] [HomeController] - Entered GetCheckInDetails method
[2019-05-27 18:38:16,443 14] [INFO] [HomeController] - GetCheckInDetails method Elapsed - 00:00:00.0442160
[2019-05-27 18:38:17,456 14] [INFO] [HomeController] - Entered EmployeeAnniversary method
[2019-05-27 18:38:17,482 14] [INFO] [HomeController] - EmployeeAnniversary method Elapsed - 00:00:00.0260831
[2019-05-27 18:38:17,974 26] [INFO] [HomeController] - Entered GetMonthlyData method
[2019-05-27 18:38:18,032 26] [INFO] [HomeController] - GetMonthlyData method Elapsed - 00:00:00.0583875
[2019-05-27 18:38:18,072 24] [INFO] [HomeController] - Entered GetTime method
[2019-05-27 18:38:18,083 24] [INFO] [HomeController] - GetTime method Elapsed - 00:00:00.0112055
[2019-05-27 18:38:18,485 14] [INFO] [ReportsController] - Entered Missing Entries Details method
[2019-05-27 18:38:18,527 14] [INFO] [ReportsController] - MissingEntriesDetails-Elapsed00:00:00.0416467
[2019-05-27 18:38:36,785 25] [INFO] [HomeController] - Entered GetCheckInDetails method
[2019-05-27 18:38:36,819 25] [INFO] [HomeController] - GetCheckInDetails method Elapsed - 00:00:00.0346700
[2019-05-27 18:38:37,313 26] [INFO] [HomeController] - Entered EmployeeAnniversary method
[2019-05-27 18:38:37,319 26] [INFO] [HomeController] - EmployeeAnniversary method Elapsed - 00:00:00.0065022
[2019-05-27 18:38:37,830 9] [INFO] [ReportsController] - Entered Missing Entries Details method
[2019-05-27 18:38:37,875 9] [INFO] [ReportsController] - MissingEntriesDetails-Elapsed00:00:00.0448826
[2019-05-27 18:38:38,874 24] [INFO] [HomeController] - Entered GetMonthlyData method
[2019-05-27 18:38:38,920 24] [INFO] [HomeController] - GetMonthlyData method Elapsed - 00:00:00.0458676
[2019-05-27 18:38:38,953 7] [INFO] [HomeController] - Entered GetTime method
[2019-05-27 18:38:38,988 7] [INFO] [HomeController] - GetTime method Elapsed - 00:00:00.0342931
[2019-05-27 18:43:29,765 16] [INFO] [HomeController] - Entered GetCheckInDetails method
